Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6007162214479288,0.03236414666650371
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.1499419279907085,0.04247506014344621
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.4554532382058515,0.04272148181808033
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6007936507936509,0.03640587531567069
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.20325203252032523,0.04600681406363982
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.45535645152369886,0.046365013196780186
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.6014711575687185,0.03157564304043233
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.14518002322880372,0.04678744698932489
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.45632265914495884,0.04151965597974738
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.5999806426635694,0.03678474596050189
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.2032520325203252,0.06296248554102234
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.45202090592334493,0.04724065787776238
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.577332559039876,0.027467780742023627
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.1259001161440186,0.060624952678320285
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.4645876887340302,0.0464184172971135
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.5781649245063879,0.025087108013937254
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.1307781649245064,0.05706253856930306
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.4633643050716222,0.040357390319692425
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,hamming_accuracy,0.577332559039876,0.027467780742023627
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,subset0_1,0.1259001161440186,0.060624952678320285
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,f1,0.4645876887340302,0.0464184172971135
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.5773519163763067,0.02594564832602682
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,subset0_1,0.1307781649245064,0.05706253856930306
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,f1,0.46011227255129694,0.04564978406478398
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.3483236546651181,0.04388262930288243
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.21707317073170732,0.04160874662502146
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.3549748354626404,0.0429918659024805
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.23147502903600464,0.04777685531124717
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.3500503290747193,0.04646771344462219
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.2124274099883856,0.04110973279606939
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.3528687572590012,0.043485685476459056
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.22195121951219515,0.05293466719855779
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.36518776616337595,0.03620371660519984
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.23170731707317077,0.03152192314335943
