Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.6547747747747747,0.010959274213051805
RF,CLR,subset0_1,0.06378378378378378,0.022055702699963035
RF,CLR,f1,0.4210673530673528,0.03207636734347935
XGBoost,CLR,hamming_accuracy,0.6612012012012012,0.017265987679445472
XGBoost,CLR,subset0_1,0.08072072072072072,0.0228594616607621
XGBoost,CLR,f1,0.4884678964678961,0.031024983270099338
ETC,CLR,hamming_accuracy,0.6594594594594595,0.01897840877996991
ETC,CLR,subset0_1,0.06630630630630631,0.02482043294806856
ETC,CLR,f1,0.43646246246246223,0.04305937692062028
LightGBM,CLR,hamming_accuracy,0.6535135135135135,0.017465399374490282
LightGBM,CLR,subset0_1,0.07207207207207207,0.025225225225225224
LightGBM,CLR,f1,0.47797940797940763,0.03612501006474317
