Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.629069069069069,0.018323142179799388
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.06882882882882883,0.025970958914201443
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.610535392535392,0.021858828802511165
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6385585585585587,0.015537573522456468
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.07099099099099099,0.026763884147931016
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5468760188760184,0.020141935067319244
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.6276876876876877,0.01924022875692582
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.07063063063063063,0.026928348385253195
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.6087504647504642,0.02183997610181156
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6336936936936938,0.018050421313683878
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.06666666666666667,0.027087020501572807
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.5310321750321745,0.023638104673854222
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.5813813813813813,0.02165912663093928
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.04828828828828828,0.025338228225220822
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.5951122551122546,0.02414398999756094
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.5806006006006006,0.02144034788304924
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.04756756756756756,0.02356437149444586
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.5915223795223791,0.024154430926547173
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,hamming_accuracy,0.5813813813813815,0.02175467901054034
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,subset0_1,0.047927927927927924,0.02569953056529792
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,f1,0.5952995852995848,0.024082689533349258
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.5804804804804805,0.02029639068914811
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,subset0_1,0.047927927927927924,0.023729120912654885
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,f1,0.591457171457171,0.023069845705921587
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6287567567567567,0.04495841760301869
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.3084684684684684,0.07434610655425065
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.45633633633633636,0.05927632792626232
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.08252252252252251,0.03810970541665524
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6285405405405405,0.04480661462100077
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.3081081081081081,0.07363177204217135
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.4297177177177177,0.05792832365667645
