Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7588719555618857,0.013108829413941474
RF,CLR,subset0_1,0.1325594644637516,0.03425736143566356
RF,CLR,f1,0.32593191853012393,0.04775282296994352
XGBoost,CLR,hamming_accuracy,0.7683720267768125,0.015955886265908197
XGBoost,CLR,subset0_1,0.1882324455205811,0.03818207099787656
XGBoost,CLR,f1,0.46564414240272356,0.043782753787004226
ETC,CLR,hamming_accuracy,0.7560181360679864,0.016278110303296324
ETC,CLR,subset0_1,0.12415610311921381,0.04594100032583579
ETC,CLR,f1,0.3112363860798557,0.0507477853698089
LightGBM,CLR,hamming_accuracy,0.7680173764421023,0.013762268964264064
LightGBM,CLR,subset0_1,0.18111665004985045,0.029436596886343598
LightGBM,CLR,f1,0.44805721610678156,0.026233132096489916
