Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7659811426437639,0.008880284591061091
RF,CLR,subset0_1,0.0720388349514563,0.03262945609984111
RF,CLR,f1,0.0720388349514563,0.03262945609984111
XGBoost,CLR,hamming_accuracy,0.8097059372666169,0.014897257665446058
XGBoost,CLR,subset0_1,0.2970463032113517,0.05433552670338896
XGBoost,CLR,f1,0.3008383121732636,0.05579600191553605
ETC,CLR,hamming_accuracy,0.7598254294249439,0.004709400766140439
ETC,CLR,subset0_1,0.04703136669156087,0.02153343593192042
ETC,CLR,f1,0.04703136669156087,0.02153343593192042
LightGBM,CLR,hamming_accuracy,0.792646564600448,0.014112987045217004
LightGBM,CLR,subset0_1,0.21148244958924572,0.05080252573105227
LightGBM,CLR,f1,0.21276699029126214,0.05068416110644749
