Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6474635922330098,0.03451960096638631
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.2415197908887229,0.06900002614549258
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5873384366442616,0.031570536508639696
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6646956684092606,0.03959955973329791
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.30817774458551156,0.07199021465810147
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5997231764998753,0.035054346777277166
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.6466915608663182,0.03221159025827833
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.24074682598954442,0.06593133483964944
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.5860263878516302,0.029507459159386656
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6647936893203884,0.03825886916897803
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.31010455563853623,0.07198070718371154
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.5987387353746574,0.03403868926935385
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.3991178117998506,0.037867258934880584
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.031209858103061986,0.027415479067677564
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.46224321633059445,0.02463764325597643
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.3994072068707991,0.03800067285498506
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.03313666915608663,0.02683566046606319
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.46250087129698725,0.02467773496583226
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,hamming_accuracy,0.3991178117998506,0.037867258934880584
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,subset0_1,0.031209858103061986,0.027415479067677564
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,f1,0.46224321633059445,0.02463764325597643
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.3994072068707991,0.03800067285498506
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,subset0_1,0.03313666915608663,0.02683566046606319
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,f1,0.46250087129698725,0.02467773496583226
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.39492780682101064,0.07802012130020024
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.1907729648991785,0.06354415177853186
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.36889905402041323,0.06985395418827815
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.16685959671396566,0.0567118335032852
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.3953005974607916,0.0733238534690068
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.18998506348020913,0.06252553520063489
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.3685828976848395,0.0697059923926052
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.16879387602688578,0.05563662100547576
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.7992587752053769,0.05836836497260055
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.6794137415982076,0.08760179451069154
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.7991940502862833,0.05820860582018466
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.6794137415982076,0.08760179451069154
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.7992587752053769,0.05836836497260055
