Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.21233307961953288,0.008384524921921092
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.031553712247127594,0.0039038372289342256
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.19074981785594475,0.006121573158566379
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.21026349990421012,0.008451592557667966
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.030587528672248364,0.004330188486796336
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.18956614334553865,0.006182199143013457
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.21210322083382338,0.008186901641587174
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.031231651055501186,0.004160417897325405
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.19043053014977976,0.006152334579946531
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.20961971038162847,0.008598755647396792
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.030265467480621956,0.003874422960526402
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.18915905862992763,0.0061803260554158974
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.2028590142738053,0.008952620653928156
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.03187680900528657,0.006483816446098369
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.19335244820733508,0.006495747351722751
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.2028590142738053,0.00898801746025824
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.03187680900528657,0.006483816446098369
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.19323512591609973,0.006609133490392122
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,hamming_accuracy,0.2028590142738053,0.008952620653928156
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,subset0_1,0.03187680900528657,0.006483816446098369
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,f1,0.19335244820733508,0.006495747351722751
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.2028590142738053,0.00898801746025824
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,subset0_1,0.03187680900528657,0.006483816446098369
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,f1,0.19323512591609973,0.006609133490392122
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8393328652800158,0.002904484770911098
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.031553712247127594,0.0039038372289342256
