Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6468059299191374,0.009097544160656085
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.001886792452830189,0.00231083937998413
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5712328170196169,0.01268145137949975
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6877088948787062,0.006029638148886559
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.007735849056603774,0.005316604831549197
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.530414202950829,0.011016505702299898
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.6460512129380055,0.009713849681033879
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.00169811320754717,0.0022641509433962265
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.5701690015391884,0.01294427480617013
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6864824797843666,0.008409487522280077
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.008490566037735849,0.004810395767540363
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.5164314300250834,0.01067292038442097
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.6323045822102425,0.010867548821213031
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.0015094339622641509,0.0025732418296199725
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.5550495263202052,0.014731038082596855
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.6413746630727764,0.011035999652820339
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.003018867924528302,0.00294726402864402
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.5512135375755476,0.015102318207593238
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,hamming_accuracy,0.63133423180593,0.010870590204892597
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,subset0_1,0.001320754716981132,0.0021179192755324196
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,f1,0.5544070809148792,0.014802727632049454
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.6405660377358491,0.010785881927071089
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,subset0_1,0.002830188679245283,0.002668327476175651
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,f1,0.5501167280739978,0.014851360124841527
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.4853763217914161,0.00563877278592175
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0,0.0
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.4735952726518764,0.007885226690363392
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0,0.0
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.4854737715115073,0.005757653483921467
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0,0.0
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.4744059713871034,0.009242209609913123
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0,0.0
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.5588803649181007,0.004634611523268561
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.0,0.0
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.5606220194899438,0.004984984220737268
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.0,0.0
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.5586481443085216,0.004538021427936965
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.0,0.0
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.5604250466514615,0.004819759626323793
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.0,0.0
