Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6916116925953821,0.01115605710377543
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.15316988286627015,0.009284990779939231
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.652664845946864,0.018672040191467065
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6952380333999948,0.023775203663783717
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.14778069241357816,0.01828428953588032
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6175736924642863,0.039113603392685936
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.6916095282618671,0.00995485200287427
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.15856556631950758,0.003889307326701813
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.6522042293962675,0.017791759372285554
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6886346518453108,0.025565107480802374
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.1334051892060359,0.03988000934992078
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.6009262729063791,0.04503384399236704
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.6907145763533578,0.013256542780216263
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.17119445238033398,0.012921071085369981
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.6560361355062427,0.01830917421812911
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.6904191448285415,0.015958713173865213
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.16937641222761862,0.003908786328338049
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.6499109789012534,0.021228210829994987
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,hamming_accuracy,0.6910143365452043,0.012956782588369742
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,subset0_1,0.16938939822870946,0.011116016933745435
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,f1,0.656198584196079,0.017992006601010857
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.6889149330355211,0.014454501380844809
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,subset0_1,0.16576630392436953,0.00029867802508895536
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,f1,0.6483117837859687,0.01938920756123297
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.5023760053329185,0.018682959769368623
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.09186946471703504,0.012447082045554891
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.4530136179864773,0.022557982494870593
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0,0.0
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.502728791695886,0.01447939121626901
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.09365503986702335,0.021452873802041403
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.45061813365192316,0.02639751015072408
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0,0.0
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.5684193439472252,0.006069224043148025
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.030614497571617792,0.00895384775212321
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.5691461271416081,0.009433896925780505
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.032419551723242346,0.007148793600498662
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.5690201629310273,0.006190426719995701
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.030614497571617792,0.00895384775212321
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.5683024699374075,0.007870815261148356
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.032419551723242346,0.007148793600498662
