Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7135135135135134,0.018859241403132207
RF,,,,,BinaryVector,subset0_1,0.18918918918918917,0.031723994345331546
RF,,,,,BinaryVector,f1,0.6595295295295293,0.02991506474529026
RF,,,,,BinaryVector,jaccard,0.5535135135135134,0.031131105381898568
RF,,,,,BinaryVector,macro_f1,0.5200315814107115,0.021750032613814484
RF,,,,,BinaryVector,micro_f1,0.6849875835198463,0.025202498522037
RF,,,,,BinaryVector,macro_precision,0.5075430370812775,0.019377576788538554
RF,,,,,BinaryVector,micro_precision,0.6490999832537584,0.027705769090586366
RF,,,,,BinaryVector,macro_recall,0.5524635316559624,0.022908533274484295
RF,,,,,BinaryVector,micro_recall,0.7257066052227342,0.02996387223286438
RF,,,,,BinaryVector,example_precision,0.6584084084084084,0.03609816965757964
RF,,,,,BinaryVector,example_recall,0.7145045045045045,0.03712501252313781
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.5746311619515435,0.03405571000528001
