Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.6674174174174174,0.018672425398996564
RF,,,,,BinaryVector,subset0_1,0.10360360360360361,0.023920573058291445
RF,,,,,BinaryVector,f1,0.576519376519376,0.026846297051597478
RF,,,,,BinaryVector,jaccard,0.4604504504504504,0.025557319891245354
RF,,,,,BinaryVector,macro_f1,0.43677338397277443,0.02990257594626086
RF,,,,,BinaryVector,micro_f1,0.6077634326078123,0.02659299235732609
RF,,,,,BinaryVector,macro_precision,0.4608770601732771,0.028138561739496398
RF,,,,,BinaryVector,micro_precision,0.6177166800605206,0.032061327345339605
RF,,,,,BinaryVector,macro_recall,0.4424583467131765,0.04257336432333076
RF,,,,,BinaryVector,micro_recall,0.6017207252642616,0.050988172765318945
RF,,,,,BinaryVector,example_precision,0.6298648648648648,0.026232520410915377
RF,,,,,BinaryVector,example_recall,0.5976276276276277,0.05421854351854246
RF,,,,,BinaryVector,mfrd,0.9953703703703705,0.013888888888888883
RF,,,,,BinaryVector,afrd,0.5773370998310441,0.06843774880763047
