Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6271771771771772,0.026868487290932424
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.06306306306306306,0.022791190343555884
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6072722722722718,0.03383751855376969
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.8830750330198688,0.051034741722019945
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.46102467058356994,0.0724035074913564
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.633956593085808,0.02692824523652371
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.07230289505518864,0.02560308006034811
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6069598053909975,0.035298308195318005
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.6426426426426427,0.026708162395626598
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.023723723723723722,0.014769768921751277
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.07477477477477477,0.027340524154042374
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.1027027027027027,0.050835084611408586
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.41807807807807806,0.020909959722696547
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.010810810810810811,0.007853871970343556
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6387387387387389,0.01917223987929413
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.07657657657657657,0.02103174329716892
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5459495209495204,0.028769404658527137
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.9022618153336046,0.09541377948204977
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.4469270393502448,0.06667066310142113
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.6444618690898026,0.01954115217175
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.0838984438984439,0.017942893046855625
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.5458076713076708,0.030681138830537493
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.6518018018018018,0.020272494594897876
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.02072072072072072,0.014017945966346914
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.08558558558558559,0.0162412219615495
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.08018018018018018,0.04842289964099707
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.3926126126126126,0.014918730323335355
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.002702702702702703,0.004128446572032288
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.6250750750750751,0.027474195310956094
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.06486486486486485,0.023423423423423424
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.6055276705276701,0.03441059531701658
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,mfrd,0.8830918680367038,0.0511473512120667
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,afrd,0.46507064764527534,0.07298273700237279
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.6321675966533749,0.027467219843771196
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,subset0_1_pa,0.07412941715694009,0.027459094418057335
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,f1_pa,0.6059870137026095,0.035391369522124516
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,arec,0.6412912912912914,0.02709742250366959
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,aabs,0.02477477477477478,0.014358782786558895
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,rec,0.07657657657657659,0.029675079445046132
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,abs,0.109009009009009,0.049088766579550545
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.4150750750750751,0.02088233962333195
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.010810810810810811,0.007853871970343556
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6366366366366367,0.018167547702407423
