Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7548170276325615,0.0048077285612444474
RF,,,,,BinaryVector,subset0_1,0.026997759522031366,0.015441248171250506
RF,,,,,BinaryVector,f1,0.026997759522031366,0.015441248171250506
RF,,,,,BinaryVector,jaccard,0.026997759522031366,0.015441248171250506
RF,,,,,BinaryVector,macro_f1,0.03803201184780132,0.022507513336218688
RF,,,,,BinaryVector,micro_f1,0.05179031777334101,0.029151101244136366
RF,,,,,BinaryVector,macro_precision,0.25,0.0
RF,,,,,BinaryVector,micro_precision,1.0,0.0
RF,,,,,BinaryVector,macro_recall,0.021229893861472806,0.013317920776176639
RF,,,,,BinaryVector,micro_recall,0.026813532379570116,0.015371180577594935
RF,,,,,BinaryVector,example_precision,0.026997759522031366,0.015441248171250506
RF,,,,,BinaryVector,example_recall,0.026997759522031366,0.015441248171250506
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.9787701061385272,0.013317920776176623
