Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6339619118745332,0.041223842264965255
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.21394697535474233,0.05703877078061097
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5764858725416975,0.038934709242062306
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.47356780557630074,0.04336088951476879
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.45945074669898156,0.02623674123930723
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.5347245377389082,0.03442192971402921
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.35285102712765315,0.02296685598190502
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.39471643554944646,0.032454578957596576
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.7375718675572391,0.07613580356859143
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.8307630105743312,0.028952399319580786
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.47533762758277326,0.04415221288868551
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.8333691187453324,0.029026019010654117
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.5642768279721256,0.06395597558443014
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.28717628872283,0.060820235601255004
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7577040388523764,0.029428399615364517
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.4438462228057161,0.07455454765194128
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6324190696383769,0.03185312026729701
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8075779499626586,0.03234834615024229
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.2087798730395818,0.06742920387768797
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.4672423450336072,0.09085856845043856
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.5269044062733383,0.10154864783343955
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6389314164799603,0.02447985239358344
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.21297610156833455,0.05595203417351332
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.650585791635549,0.04390283795277057
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.26696228528752797,0.06504109228531707
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5842721558376895,0.04495832687341808
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.4944594846900672,0.05071896630575941
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.46334685501761186,0.028165793584141383
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.5389710220234762,0.03664636289089108
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.3655944357030811,0.02949603978795037
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.40577421816527426,0.03685410340695489
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.7205591147481012,0.07749565247666859
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.8058903517865781,0.03712571459585306
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.49614917849141155,0.051451576418242974
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.8088125466766243,0.036972382959544456
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.5237146366339556,0.08452713069836555
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.2640922394039516,0.0662402852171979
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7844934900283946,0.02693035812732653
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.5335894970775569,0.0577754063079753
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.6445197847708743,0.03150809129005002
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.8311916542195668,0.026186566885964584
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.2179424943988051,0.06464785957770865
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.5568894697535474,0.06942468650292435
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.534624719940254,0.09684534094879615
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6472787528005975,0.02548544681934605
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.26696228528752797,0.06504109228531707
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.6332500933532488,0.043410710165657174
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.21202389843166541,0.05741052961356236
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.575341050535225,0.04148758276194768
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,jaccard,0.47213327732138416,0.04574953556488858
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_f1,0.45853891740116737,0.027137314359646853
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_f1,0.5346538437810855,0.036916798631277566
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_precision,0.35230292986385453,0.02384157536586853
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_precision,0.3944323937689972,0.03453345752223411
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_recall,0.7336951438405139,0.07472106819205783
