Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.21233307961953285,0.008384524921921094
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.031553712247127594,0.003903837228934225
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.19074981785594475,0.006121573158566379
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.12184685499619403,0.005554777350394207
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.14667108810875767,0.0014182429423680806
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.16295935144121904,0.0012066190587206906
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.08837906734725601,0.0007193890916073755
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.08953492948568118,0.0007344823377811675
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.8933160573168483,0.017402127969571753
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.9057324908048526,0.0034412814352083832
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.12448868219807377,0.006421251131860613
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.9096379314213324,0.005154026856678383
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.9652266109205296,0.011115073343754287
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.7460719617348158,0.022870322146666823
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8744689485235064,0.007168092696458396
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.49747314450845337,0.02440713893944649
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.5411683375806057,0.024446186553436933
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.9781526158780457,0.0010889942348650517
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.8255886271124633,0.010259636907955665
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.7913654462515081,0.013994477459218679
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.9526709849791075,0.002826980746689524
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8393328652800157,0.0029044847709110986
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.031553712247127594,0.003903837228934225
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.21026349990421006,0.008451592557667968
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.03058752867224837,0.004330188486796336
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.1895661433455387,0.006182199143013457
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.12074918820317022,0.005650831345039997
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.14637024964988324,0.0014477053072377948
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.16244144617059014,0.0012202509356345013
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.08820706006996237,0.0007459430009342533
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.0892327368497851,0.000741321889381859
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.8941626566932686,0.016190270868168502
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.9046672671172791,0.003960003238123518
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.12338038840928071,0.006559111572146487
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.9083499455464598,0.00625777525295398
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.9632881369039603,0.010761727431981612
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.7489606015689394,0.019655701285024637
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8730816321882873,0.008756703419566313
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.49654718898702754,0.024451495727668734
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.5382196289098793,0.02696186178509751
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.9782216289905371,0.00106547142512795
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.827911217922402,0.009700002220964031
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.79297575220964,0.01229014069261698
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.9533151073623604,0.0036844096530667635
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8393045522082245,0.0029408678619526354
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.03058752867224837,0.004330188486796336
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.21210322083382338,0.008186901641587172
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.031231651055501186,0.004160417897325405
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.19043053014977973,0.00615233457994653
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,jaccard,0.1215645230763596,0.005656429707030581
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_f1,0.1465269815646563,0.0014734386412806313
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_f1,0.16275653886093894,0.00116483037585801
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_precision,0.08829381849732394,0.0007212586048347846
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_precision,0.08942304955004404,0.0007120526480863728
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_recall,0.8958330725064201,0.016357650131919373
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_recall,0.904656053909731,0.003941043422469863
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,example_precision,0.12419831864738433,0.006504951294156393
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,example_recall,0.9083499455464599,0.005873005841530472
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,mfrd,0.9652266109205296,0.011115073343754287
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,afrd,0.7487211823871895,0.021259262635900878
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8733080550347407,0.007426755957264753
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,subset0_1_pa,0.49513259441073726,0.025096340933525627
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,f1_pa,0.5386854409460017,0.024705060206614272
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,arec,0.9779456135250907,0.0010685088212795727
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,aabs,0.8255424704327263,0.009854958012261399
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,rec,0.7897551402933759,0.013815064354390996
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,abs,0.9529930461707339,0.0031384449360337668
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8393363702744336,0.002909686382928252
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.031231651055501186,0.004160417897325405
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.20961971038162847,0.008598755647396792
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.03026546748062196,0.0038744229605264017
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.18915905862992763,0.006180326055415897
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,jaccard,0.12040347734419372,0.0055914626916617
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,macro_f1,0.14625798069679616,0.0014016832315989192
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,micro_f1,0.1622494655132471,0.0011990135092475658
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,macro_precision,0.08814480930968209,0.0007072076330613853
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,micro_precision,0.08912215474314542,0.0007287966712316824
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,macro_recall,0.8940721531764926,0.016302854037790658
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,micro_recall,0.9041292592298735,0.004542696273600988
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,example_precision,0.12302868247184542,0.006494819322186213
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,example_recall,0.9078668537590204,0.007155654788260953
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,mfrd,0.9632881369039603,0.010761727431981612
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,afrd,0.7494791231351153,0.019976983887638865
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8728919996965256,0.00879003011636336
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.49565333221254776,0.024617054838790436
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,f1_pa,0.5381618384312723,0.027394256117456977
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,arec,0.9782906051185096,0.0011256261203349083
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,aabs,0.8287158901027208,0.010013353272216944
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,rec,0.7942634791928794,0.012282556916991299
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,abs,0.9542807731539733,0.0040355463084575036
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8392550555419236,0.0029364247114823995
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.03026546748062196,0.0038744229605264017
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.2028590142738053,0.008952620653928158
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.03187680900528657,0.006483816446098369
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.19335244820733505,0.006495747351722751
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,jaccard,0.1231912226596275,0.0062863858950407804
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,macro_f1,0.14775650679723146,0.0018521497276331438
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,micro_f1,0.1650540153433923,0.001896871630351873
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,macro_precision,0.08859432393226395,0.0011911733295064514
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,micro_precision,0.09055777840437966,0.0011204361317764461
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,macro_recall,0.9192083805116746,0.009531061657357346
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,micro_recall,0.9307004883159793,0.004166003266508338
