Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9181771514079635,0.001652583358456886
RF,,,,,BinaryVector,subset0_1,0.06536237061890633,0.009056704877469608
RF,,,,,BinaryVector,f1,0.0726603531627065,0.011349798861143385
RF,,,,,BinaryVector,jaccard,0.07083585752675645,0.010671740402625463
RF,,,,,BinaryVector,macro_f1,0.029241637802677328,0.00424817221431614
RF,,,,,BinaryVector,micro_f1,0.1174988298383618,0.01946354263982639
RF,,,,,BinaryVector,macro_precision,0.17671605636718962,0.044066131819062035
RF,,,,,BinaryVector,micro_precision,0.6709640169007735,0.0605774703227339
RF,,,,,BinaryVector,macro_recall,0.018460353380787154,0.0031185715685941896
RF,,,,,BinaryVector,micro_recall,0.0644340130466399,0.011213034652035684
RF,,,,,BinaryVector,example_precision,0.07630934443460657,0.01285101095566139
RF,,,,,BinaryVector,example_recall,0.07083585752675645,0.010671740402625463
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.9777028758952697,0.002670028975705169
