Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8883369504192935,0.006264575842990037
RF,,,,,BinaryVector,subset0_1,0.11799581631120844,0.016472570514477158
RF,,,,,BinaryVector,f1,0.19725422122807848,0.03046219975835182
RF,,,,,BinaryVector,jaccard,0.17609228290888662,0.025890444790375437
RF,,,,,BinaryVector,macro_f1,0.12075747603361986,0.014410960572866286
RF,,,,,BinaryVector,micro_f1,0.24338656479012558,0.03057558864206552
RF,,,,,BinaryVector,macro_precision,0.15400728367148148,0.019864701250867138
RF,,,,,BinaryVector,micro_precision,0.2870155374858243,0.027314743926169976
RF,,,,,BinaryVector,macro_recall,0.11608047471562585,0.02348389496987208
RF,,,,,BinaryVector,micro_recall,0.21383514338158532,0.03851743445183577
RF,,,,,BinaryVector,example_precision,0.1953384360874225,0.02873748991179177
RF,,,,,BinaryVector,example_recall,0.22064729812061934,0.038080155588966394
RF,,,,,BinaryVector,mfrd,0.9985325739833936,0.002574233494955765
RF,,,,,BinaryVector,afrd,0.8291356357503858,0.03077381661988114
