Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.6689700994957531,0.006704484840426149
RF,,,,,BinaryVector,subset0_1,0.006600442186909403,0.004224862270234929
RF,,,,,BinaryVector,f1,0.1648471522491361,0.007447730953215812
RF,,,,,BinaryVector,jaccard,0.10665461198297085,0.005778059190923029
RF,,,,,BinaryVector,macro_f1,0.12529628692609643,0.0054377417270032305
RF,,,,,BinaryVector,micro_f1,0.16744061317069217,0.006361736753468377
RF,,,,,BinaryVector,macro_precision,0.09180676951300723,0.003262740145888065
RF,,,,,BinaryVector,micro_precision,0.106380332312739,0.004239659736978327
RF,,,,,BinaryVector,macro_recall,0.3303218718197577,0.04019130403722059
RF,,,,,BinaryVector,micro_recall,0.3931235847676645,0.013175806147094021
RF,,,,,BinaryVector,example_precision,0.11237619232392224,0.006264825935009294
RF,,,,,BinaryVector,example_recall,0.39407653785944946,0.01365437097624001
RF,,,,,BinaryVector,mfrd,0.6664596155136719,0.07004827704853607
RF,,,,,BinaryVector,afrd,0.36300606640323435,0.032081457535176966
