Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9115545961974533,0.0005355285635787273
RF,,,,,BinaryVector,subset0_1,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,f1,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,jaccard,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,macro_f1,0.023314203803332302,0.013743979668449476
RF,,,,,BinaryVector,micro_f1,0.0675632798298509,0.026081877640660923
RF,,,,,BinaryVector,macro_precision,0.10405779405779406,0.0672550169486224
RF,,,,,BinaryVector,micro_precision,0.6615770194717563,0.11761953550933953
RF,,,,,BinaryVector,macro_recall,0.013834394683646495,0.008117860322646761
RF,,,,,BinaryVector,micro_recall,0.035962657461722294,0.014482577426120434
RF,,,,,BinaryVector,example_precision,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,example_recall,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.983627384274882,0.008812419227690705
