Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.18337432408860982,0.024625810205461122
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.0076635269492412355,0.010010942018784413
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.18011445621649685,0.008045818018079475
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.9357998947555419,0.031184226444538797
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.8063040335232087,0.0578493887841648
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8235368849775266,0.019323442486903906
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.45293944366173083,0.047140362530351455
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.48195836620998866,0.04412160672265477
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.9753307605093319,0.006852102823166686
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.8596975841618699,0.0350529531468892
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.7934615384615384,0.04637724390184082
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.9882443746729461,0.013888070227118382
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.825219978434264,0.00298924071050291
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0076635269492412355,0.010010942018784413
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.18094867434153147,0.02422956687301182
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.008686551543694401,0.011420516834724604
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.1798923093302997,0.007748122357866982
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.9422872114485884,0.031011037236505976
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.8140505844204717,0.05659862171299653
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8268212469564578,0.01910305238331453
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.4653108272408585,0.044336845187977925
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.48523417556818493,0.04623584982437028
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.9764813361241931,0.006945506352272708
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.8639124367695796,0.03449006949597451
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.8026661433804291,0.04714119915482258
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.9882417582417583,0.014076823860133331
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8251812473241044,0.002989906296930706
