Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9104027123669981,0.0009018222623523448
RF,,,,,BinaryVector,subset0_1,0.013812140240711668,0.00972178974940702
RF,,,,,BinaryVector,f1,0.013812140240711668,0.00972178974940702
RF,,,,,BinaryVector,jaccard,0.013812140240711668,0.00972178974940702
RF,,,,,BinaryVector,macro_f1,0.01126176338169987,0.00814566320966313
RF,,,,,BinaryVector,micro_f1,0.02469619520915365,0.016937167374981264
RF,,,,,BinaryVector,macro_precision,0.07791666666666666,0.049785225447310226
RF,,,,,BinaryVector,micro_precision,0.5933333333333333,0.2698970997332955
RF,,,,,BinaryVector,macro_recall,0.0062356710259014545,0.004603418509618379
RF,,,,,BinaryVector,micro_recall,0.01275440752266287,0.008933258143901248
RF,,,,,BinaryVector,example_precision,0.013812140240711668,0.00972178974940702
RF,,,,,BinaryVector,example_recall,0.013812140240711668,0.00972178974940702
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.992602882657302,0.005048973258616468
