Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8242610762253619,0.009245120586427574
RF,,,,,BinaryVector,subset0_1,0.07209576138147566,0.02013700785310323
RF,,,,,BinaryVector,f1,0.1920868655154369,0.027113918757017873
RF,,,,,BinaryVector,jaccard,0.15741592534449675,0.022614966334299273
RF,,,,,BinaryVector,macro_f1,0.13777351232424423,0.027060553775527206
RF,,,,,BinaryVector,micro_f1,0.21660446334332312,0.025465570741233175
RF,,,,,BinaryVector,macro_precision,0.12521438674277954,0.024543524699878326
RF,,,,,BinaryVector,micro_precision,0.1809747459209941,0.019806690629765523
RF,,,,,BinaryVector,macro_recall,0.18609490436805215,0.041229886855978296
RF,,,,,BinaryVector,micro_recall,0.2710970858881437,0.03998524840653483
RF,,,,,BinaryVector,example_precision,0.1660090266875981,0.024410897321483552
RF,,,,,BinaryVector,example_recall,0.26944226408512123,0.041149269230992394
RF,,,,,BinaryVector,mfrd,0.9609936853156178,0.04346611056525869
RF,,,,,BinaryVector,afrd,0.6875673741575725,0.04644588891656505
