Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8038908246225318,0.01715778656690902
RF,,,,,BinaryVector,subset0_1,0.05069686411149825,0.0464329565842865
RF,,,,,BinaryVector,f1,0.05871080139372822,0.058050070058872284
RF,,,,,BinaryVector,jaccard,0.05670731707317074,0.05509042259790272
RF,,,,,BinaryVector,macro_f1,0.07710566674334789,0.06828532523695381
RF,,,,,BinaryVector,micro_f1,0.09373833706829456,0.0915288938179277
RF,,,,,BinaryVector,macro_precision,0.1506926406926407,0.10072960539135234
RF,,,,,BinaryVector,micro_precision,0.6771717171717172,0.3677897484312433
RF,,,,,BinaryVector,macro_recall,0.06129197191697192,0.060239807862436434
RF,,,,,BinaryVector,micro_recall,0.05360825408541303,0.05601661230426829
RF,,,,,BinaryVector,example_precision,0.06152729384436702,0.062190004517646544
RF,,,,,BinaryVector,example_recall,0.05789779326364693,0.05703357254175218
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.8660349511599511,0.05872182112601498
