Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7841850561362756,0.027987448598906537
RF,,,,,BinaryVector,subset0_1,0.19343786295005808,0.04151921243254082
RF,,,,,BinaryVector,f1,0.36160085172280293,0.08753347340127504
RF,,,,,BinaryVector,jaccard,0.31755710414247,0.07065222288177388
RF,,,,,BinaryVector,macro_f1,0.26989264650403655,0.08856631582151141
RF,,,,,BinaryVector,micro_f1,0.4227289558232936,0.06946252286715582
RF,,,,,BinaryVector,macro_precision,0.3017759130057517,0.1153170715379185
RF,,,,,BinaryVector,micro_precision,0.47377003306083554,0.06277549983467981
RF,,,,,BinaryVector,macro_recall,0.2812486054045315,0.10555001124462937
RF,,,,,BinaryVector,micro_recall,0.39882919889177704,0.10188686289035741
RF,,,,,BinaryVector,example_precision,0.35899148277197057,0.08517536476394957
RF,,,,,BinaryVector,example_recall,0.40853658536585363,0.11369915125113637
RF,,,,,BinaryVector,mfrd,0.9915873015873016,0.017874594646784255
RF,,,,,BinaryVector,afrd,0.5600899795311778,0.11459529362269788
