Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7318059299191375,0.004218996183961847
RF,,,,,BinaryVector,subset0_1,0.027358490566037737,0.009146565768710055
RF,,,,,BinaryVector,f1,0.5507507454316556,0.008914254564645325
RF,,,,,BinaryVector,jaccard,0.41290962182471624,0.008680975810487893
RF,,,,,BinaryVector,macro_f1,0.5070083274241329,0.009231013663172534
RF,,,,,BinaryVector,micro_f1,0.5819976140962355,0.00681270187737516
RF,,,,,BinaryVector,macro_precision,0.628468627357455,0.03205512933026747
RF,,,,,BinaryVector,micro_precision,0.6685231216578023,0.018440974400807938
RF,,,,,BinaryVector,macro_recall,0.4543546185600336,0.006216401372601731
RF,,,,,BinaryVector,micro_recall,0.5156027719997922,0.007767995991067302
RF,,,,,BinaryVector,example_precision,0.6578694968553457,0.017603561160521836
RF,,,,,BinaryVector,example_recall,0.519255901331373,0.012310646820464663
RF,,,,,BinaryVector,mfrd,0.8472996605803023,0.030373108552652548
RF,,,,,BinaryVector,afrd,0.4369737398789416,0.01704298988869441
