Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.684332884097035,0.009178345315239918
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.006603773584905661,0.005660377358490566
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5915909961430655,0.011849146562755163
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.4447781830329001,0.011205635331857445
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.5719421137470069,0.015846525517075424
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6159008748521496,0.011071959617961254
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.5172940454411871,0.024492083381928643
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.5510674884556404,0.019446903713915185
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.6492672448453259,0.013674677112742315
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.6988897131900067,0.013797776532999479
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.5511428469329412,0.018240354931439228
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.700943549375153,0.01456135727517213
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.5458369238264575,0.04168477569653257
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.2688474992786615,0.014180988257315365
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.690086382771588,0.009660200410833233
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.008962264150943396,0.005757809252704577
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.595823634573817,0.012286492408819228
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.6934636118598383,0.00976600863314948
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.01091644204851752,0.00246763253687339
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.008962264150943396,0.005757809252704577
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.08773584905660378,0.013703621741824483
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.5188938420070495,0.009298510907598746
