Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7016846361185983,0.005836139736435197
RF,,,,,BinaryVector,subset0_1,0.009905660377358492,0.007138087712462998
RF,,,,,BinaryVector,f1,0.5168501030143796,0.01829897874716262
RF,,,,,BinaryVector,jaccard,0.3778534672874296,0.014657112044068497
RF,,,,,BinaryVector,macro_f1,0.48816255492125293,0.020948674277243392
RF,,,,,BinaryVector,micro_f1,0.5500309533624614,0.014959229712280054
RF,,,,,BinaryVector,macro_precision,0.5544494262954716,0.028419773462525943
RF,,,,,BinaryVector,micro_precision,0.6061116780225794,0.018283458874328362
RF,,,,,BinaryVector,macro_recall,0.45125419905303243,0.020299424908234543
RF,,,,,BinaryVector,micro_recall,0.5037939667317889,0.017990056094941302
RF,,,,,BinaryVector,example_precision,0.6006309898173106,0.02092936042125642
RF,,,,,BinaryVector,example_recall,0.5079729403196385,0.025299454105639864
RF,,,,,BinaryVector,mfrd,0.7635043448137565,0.037502073194150276
RF,,,,,BinaryVector,afrd,0.38901111591917986,0.021288844301722728
