Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7127695417789757,0.006621712940375192
RF,,,,,BinaryVector,subset0_1,0.015566037735849057,0.00474050736845325
RF,,,,,BinaryVector,f1,0.4658808959998795,0.011540016500321958
RF,,,,,BinaryVector,jaccard,0.3385533229872853,0.010639143849845163
RF,,,,,BinaryVector,macro_f1,0.4268713305729099,0.01162489932112492
RF,,,,,BinaryVector,micro_f1,0.5105212132208046,0.009595039626195708
RF,,,,,BinaryVector,macro_precision,0.6128303934968017,0.029263793188010968
RF,,,,,BinaryVector,micro_precision,0.6674821821322038,0.02446502552660873
RF,,,,,BinaryVector,macro_recall,0.3550195027410322,0.008236856800876153
RF,,,,,BinaryVector,micro_recall,0.4136072285394867,0.008266129393239134
RF,,,,,BinaryVector,example_precision,0.6288633470826867,0.021945781431346418
RF,,,,,BinaryVector,example_recall,0.41219506384600735,0.008707251554834665
RF,,,,,BinaryVector,mfrd,0.9131128820862667,0.0290526734965209
RF,,,,,BinaryVector,afrd,0.5325171134633337,0.02090807540020805
