Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7835454753227198,0.0050359892584991624
RF,,,,,BinaryVector,subset0_1,0.07530927570453262,0.015616323459937027
RF,,,,,BinaryVector,f1,0.5065947648949115,0.013961898107206588
RF,,,,,BinaryVector,jaccard,0.39526660228183524,0.01338967215234283
RF,,,,,BinaryVector,macro_f1,0.27200130686315926,0.010137894591441852
RF,,,,,BinaryVector,micro_f1,0.5444020142351358,0.012865797129067456
RF,,,,,BinaryVector,macro_precision,0.5556175102280183,0.07858467188556022
RF,,,,,BinaryVector,micro_precision,0.7500748732454722,0.013755614837970777
RF,,,,,BinaryVector,macro_recall,0.22915725334914278,0.009656669461380076
RF,,,,,BinaryVector,micro_recall,0.42764147888746634,0.01721199705999298
RF,,,,,BinaryVector,example_precision,0.7234408027194589,0.013336704626901437
RF,,,,,BinaryVector,example_recall,0.42874676807354817,0.015882452510953722
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.8216698670650129,0.016777712574890878
