Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7771186440677966,0.012936521120255992
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.31029767839339123,0.043417852612470484
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6728958702124915,0.015975638170690074
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.3567712921839198,0.1143749488870499
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.15941324406867374,0.017291714792636755
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8042890939801053,0.011390268722098192
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.34740065517732516,0.037464098401257286
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6867103451550108,0.016587627295884772
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.812813939134976,0.010913617223144326
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.04355742296918767,0.0031055515013122792
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.34740065517732516,0.037464098401257286
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.17366472012533826,0.017021386497299344
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6723904477045054,0.018997443971925498
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.232744623273038,0.04320145157705138
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7829938755163083,0.01731775998123337
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.32377154251531126,0.02889475244737265
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6621527254969783,0.020844245053595927
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.437569874673278,0.11168947680359004
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.18396208072638237,0.02589974213621816
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8102304309046842,0.01647360630449682
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.3625267055974933,0.04521095981930782
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.6758044912880405,0.022051927828701898
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.8184090585386696,0.016143260648712035
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.043274937093481465,0.0038169842497549175
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.3625267055974933,0.04521095981930782
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.17196980487110097,0.015202170175847136
