Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7635189669087974,0.012440913415198028
RF,,,,,BinaryVector,subset0_1,0.13918957413473865,0.03773453444677575
RF,,,,,BinaryVector,f1,0.3343832787352229,0.04097778771689018
RF,,,,,BinaryVector,jaccard,0.2863024023168589,0.037419870280278204
RF,,,,,BinaryVector,macro_f1,0.4174885707650769,0.04252359376868479
RF,,,,,BinaryVector,micro_f1,0.45181555476995916,0.04468408749159975
RF,,,,,BinaryVector,macro_precision,0.8143004753821599,0.06329652391916432
RF,,,,,BinaryVector,micro_precision,0.8084737192063681,0.04673779287805354
RF,,,,,BinaryVector,macro_recall,0.3028784850502173,0.03523955968017611
RF,,,,,BinaryVector,micro_recall,0.3146514701174038,0.03826275732481166
RF,,,,,BinaryVector,example_precision,0.4109006314390163,0.05249197950719182
RF,,,,,BinaryVector,example_recall,0.3050052224279542,0.0381114505411545
RF,,,,,BinaryVector,mfrd,0.9318326639440138,0.03379695475071405
RF,,,,,BinaryVector,afrd,0.6602667041335429,0.037415351764921646
