Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7886257892987703,0.018079397485856706
RF,,,,,BinaryVector,subset0_1,0.31781797464748607,0.0383746811268307
RF,,,,,BinaryVector,f1,0.6413618667806102,0.030159420978851454
RF,,,,,BinaryVector,jaccard,0.5593412619285001,0.03157791681557868
RF,,,,,BinaryVector,macro_f1,0.6480761810163516,0.03414093087319781
RF,,,,,BinaryVector,micro_f1,0.6620098971431743,0.02929427955939369
RF,,,,,BinaryVector,macro_precision,0.6544170596022318,0.04097219725434915
RF,,,,,BinaryVector,micro_precision,0.6593776557493464,0.031235670177145555
RF,,,,,BinaryVector,macro_recall,0.6530978630683252,0.03481120223977512
RF,,,,,BinaryVector,micro_recall,0.6655112201885813,0.03578665084752533
RF,,,,,BinaryVector,example_precision,0.6659972463561695,0.02687033502772788
RF,,,,,BinaryVector,example_recall,0.6725798794093909,0.03723315791006325
RF,,,,,BinaryVector,mfrd,0.4153065407190105,0.0862946473693227
RF,,,,,BinaryVector,afrd,0.21702141897517419,0.018245779561956776
