Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7141504059250818,0.008737811928712157
RF,,,,,BinaryVector,subset0_1,0.13743768693918243,0.020315222135359644
RF,,,,,BinaryVector,f1,0.44562133327907405,0.0225836577260458
RF,,,,,BinaryVector,jaccard,0.3641787732041969,0.02054134835657366
RF,,,,,BinaryVector,macro_f1,0.44348767652978527,0.030310051950470946
RF,,,,,BinaryVector,micro_f1,0.49407144475333176,0.02385987963960298
RF,,,,,BinaryVector,macro_precision,0.5050330850377182,0.02346560746047826
RF,,,,,BinaryVector,micro_precision,0.551507449612138,0.033470234474219124
RF,,,,,BinaryVector,macro_recall,0.42606623797852594,0.04212934639443373
RF,,,,,BinaryVector,micro_recall,0.4496307406455207,0.0351226489230411
RF,,,,,BinaryVector,example_precision,0.4989009162987229,0.03336806989231266
RF,,,,,BinaryVector,example_recall,0.45235365332573707,0.03801663525823849
RF,,,,,BinaryVector,mfrd,0.7903426895096918,0.11284803646052044
RF,,,,,BinaryVector,afrd,0.42823719313095215,0.06536085825231426
