Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.792592460713099,0.01451343320478243
RF,,,,,BinaryVector,subset0_1,0.24868964534966528,0.039224189256966566
RF,,,,,BinaryVector,f1,0.5744462530775019,0.0392885828321659
RF,,,,,BinaryVector,jaccard,0.4938085742771684,0.03740114806483368
RF,,,,,BinaryVector,macro_f1,0.6076140098464218,0.037495333330328035
RF,,,,,BinaryVector,micro_f1,0.6343760538642682,0.03230304309179325
RF,,,,,BinaryVector,macro_precision,0.696138687742611,0.022362205330420406
RF,,,,,BinaryVector,micro_precision,0.7022205790495569,0.021779039508123408
RF,,,,,BinaryVector,macro_recall,0.5616220074691904,0.05015088461289202
RF,,,,,BinaryVector,micro_recall,0.5802306055775774,0.04853987154588652
RF,,,,,BinaryVector,example_precision,0.632009329155391,0.03266273648573015
RF,,,,,BinaryVector,example_recall,0.5824241561031192,0.0489734188649899
RF,,,,,BinaryVector,mfrd,0.6541568570514065,0.08303271512997594
RF,,,,,BinaryVector,afrd,0.33093807151936405,0.05158114001330484
