Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7275688471746563,0.014134579150764649
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.3799376299376299,0.025381014534862224
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6478241524092143,0.015799096002158244
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.3012690638094114,0.03821735037263746
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.19977923569118852,0.017996071168158507
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8999191725072713,0.00515381188726651
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.6347929599992674,0.018512106181026448
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.7833840423953055,0.013802247053396022
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.9210952574023115,0.005171334227903811
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.21201400091441586,0.020220689324717267
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.6541230665711993,0.02104510265777464
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.4744446649010965,0.034444062668346605
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8253826312747495,0.006699914937688049
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.36580947369329114,0.025371612648866112
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7361200012652296,0.01652577225759509
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.42522019306251674,0.030693993410264565
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6583180560981388,0.018082381211965873
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.2791100278462019,0.03511350392090781
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.17743458245377933,0.01463816092227718
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.9150785827155605,0.0051494353108322
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.7113464774608784,0.01804961432643643
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.7992004491259168,0.015602056085466665
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.9334555429991115,0.0046575565327821805
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.21661958000132273,0.02167418732007463
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.7274501600227741,0.019743343105106486
