Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7067267267267267,0.019598914530762086
RF,,,,,BinaryVector,subset0_1,0.16900900900900903,0.03496424135955942
RF,,,,,BinaryVector,f1,0.6446134706134703,0.026842132766192208
RF,,,,,BinaryVector,jaccard,0.5353573573573572,0.029291985231068834
RF,,,,,BinaryVector,macro_f1,0.5000783121229369,0.02273874939172186
RF,,,,,BinaryVector,micro_f1,0.6725266705577907,0.026476711980362277
RF,,,,,BinaryVector,macro_precision,0.5020496447109485,0.023197109415292516
RF,,,,,BinaryVector,micro_precision,0.646618815439357,0.032133010201166365
RF,,,,,BinaryVector,macro_recall,0.5261701343243924,0.024296231579177284
RF,,,,,BinaryVector,micro_recall,0.7017170402965941,0.03236213399070541
RF,,,,,BinaryVector,example_precision,0.6553093093093093,0.03278349316486512
RF,,,,,BinaryVector,example_recall,0.6885045045045045,0.032194995619943774
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.6092972004816051,0.021357205155212458
RF,,,,,ScoreVector,ranking_loss,0.20775275275275273,0.020284112724316954
RF,,,,,ScoreVector,one_error,0.2518918918918919,0.05556331412425887
RF,,,,,ScoreVector,coverage,2.717117117117117,0.09530833265180684
RF,,,,,ScoreVector,lr_ap,0.7953113113113115,0.02670728953580618
RF,,,,,ScoreVector,auc_macro,0.5989633964587459,0.030014657558598955
RF,,,,,ScoreVector,auc_micro,0.7835880312308798,0.020405079112621266
RF,,,,,ScoreVector,auprc_macro,0.532183915705776,0.02738949489879266
RF,,,,,ScoreVector,auprc_micro,0.6937145812117723,0.044711025143588226
