Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.6789189189189189,0.015555903389852306
RF,,,,,BinaryVector,subset0_1,0.10162162162162161,0.028204961339602878
RF,,,,,BinaryVector,f1,0.5884149864149859,0.02618610852618564
RF,,,,,BinaryVector,jaccard,0.47123123123123123,0.025737505239099776
RF,,,,,BinaryVector,macro_f1,0.4591185176994882,0.026535095151362407
RF,,,,,BinaryVector,micro_f1,0.6245099151002395,0.023579743252170462
RF,,,,,BinaryVector,macro_precision,0.4762551440663668,0.0284886065022102
RF,,,,,BinaryVector,micro_precision,0.6283964729517598,0.029927561567865982
RF,,,,,BinaryVector,macro_recall,0.4641555206111675,0.034883396016409315
RF,,,,,BinaryVector,micro_recall,0.6226121711087755,0.038552072764592465
RF,,,,,BinaryVector,example_precision,0.6387027027027027,0.03298648863939718
RF,,,,,BinaryVector,example_recall,0.6133813813813813,0.04151324067033017
RF,,,,,BinaryVector,mfrd,0.9914805303371693,0.013565915787234336
RF,,,,,BinaryVector,afrd,0.5468710736041059,0.049650240996668246
RF,,,,,ScoreVector,ranking_loss,0.24977377377377377,0.018880792784945238
RF,,,,,ScoreVector,one_error,0.2962162162162162,0.04488765295573339
RF,,,,,ScoreVector,coverage,2.9300900900900904,0.08720720720720714
RF,,,,,ScoreVector,lr_ap,0.761501001001001,0.023782676453310878
RF,,,,,ScoreVector,auc_macro,0.5633246043847862,0.03320542796135992
RF,,,,,ScoreVector,auc_micro,0.7451877782156842,0.01600084975072348
RF,,,,,ScoreVector,auprc_macro,0.4982683212429188,0.026038660555325596
RF,,,,,ScoreVector,auprc_micro,0.6496950304101802,0.03773302037593817
