Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6327327327327328,0.01501501501501502
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.07603603603603604,0.02497689866834372
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6132952952952948,0.015816350198063867
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.4864984984984984,0.017937805438878608
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.5182081340827795,0.018043640592012168
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6389812457379032,0.014966673259118372
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.45537290632398775,0.020963315978761374
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.5536854145347327,0.0212683793971153
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.615442572939908,0.031443437264330985
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7566255256677279,0.023641517077667828
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.5620360360360359,0.022485442148691092
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7482402402402404,0.024776631835031426
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.85710594097478,0.07800443799983245
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.47114896045719545,0.051621639738543536
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.6392985379501112,0.015470869942970958
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.08630017507081726,0.022052684204450126
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6160723791586171,0.016271451412303725
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.4913586887972209,0.018142664837452444
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.5716430994797966,0.02358859743137616
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.7421351576764421,0.026102497294316556
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.45613863658190745,0.02278146714850018
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.5620104637919152,0.023052731298800172
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.604198456065763,0.031711606309711704
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.7520429727308607,0.024948137873506932
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.5159466298945218,0.02070688226752497
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6427416005570171,0.015715899361296554
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.893330049740231,0.06519326195159214
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.4796345236473333,0.047457045187458455
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.6473873873873873,0.015404439496965636
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.022402402402402405,0.01051411349656521
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.08828828828828827,0.02191986497404764
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.09801801801801802,0.03588436550487813
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.2964064064064064,0.02357371384081245
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.34702702702702704,0.05477714551531452
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,3.145945945945946,0.1464677580749663
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.7287487487487487,0.024957402127826142
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.5494998796695421,0.04356886049189271
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.6988211143398021,0.02018586650461806
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.4863636758709452,0.02833554123848138
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.6024631410677873,0.032164266208724084
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.41811411411411414,0.019257978934340936
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.017657657657657658,0.011246476781497107
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6456456456456457,0.018320779630834408
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.07675675675675675,0.024982097315224522
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5558198198198192,0.021088791656468243
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.4348468468468469,0.022107239251535255
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.4494986898626189,0.0266440900298924
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.5814573878334487,0.01980935369906552
