Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8475737490664674,0.012824286259097824
RF,,,,,BinaryVector,subset0_1,0.5039955190440627,0.0561960938680027
RF,,,,,BinaryVector,f1,0.5078491411501119,0.05674539318659882
RF,,,,,BinaryVector,jaccard,0.5068857356235997,0.056570275742629725
RF,,,,,BinaryVector,macro_f1,0.43335336149048104,0.03239698977261421
RF,,,,,BinaryVector,micro_f1,0.6240741126122618,0.0442416423236318
RF,,,,,BinaryVector,macro_precision,0.6141216439632988,0.05074889721187692
RF,,,,,BinaryVector,micro_precision,0.8229037523101391,0.04107661805395058
RF,,,,,BinaryVector,macro_recall,0.36181877198927637,0.03934509661796994
RF,,,,,BinaryVector,micro_recall,0.5058295666597553,0.0561078372444676
RF,,,,,BinaryVector,example_precision,0.5080414488424198,0.05696524088198202
RF,,,,,BinaryVector,example_recall,0.5086202389843166,0.056779070872167846
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.5988607303084126,0.043490303285252996
RF,,,,,ScoreVector,ranking_loss,0.15411096589494647,0.01563704805731536
RF,,,,,ScoreVector,one_error,0.2886781179985064,0.03413722645668727
RF,,,,,ScoreVector,coverage,0.4687005227781927,0.05132865890210508
RF,,,,,ScoreVector,lr_ap,0.8294818894697537,0.016853126667846177
RF,,,,,ScoreVector,auc_macro,0.791897896158086,0.03681479436782658
RF,,,,,ScoreVector,auc_micro,0.8766856603678087,0.011930745247438928
RF,,,,,ScoreVector,auprc_macro,0.5841218172088222,0.032735941695369204
RF,,,,,ScoreVector,auprc_micro,0.7605239315497037,0.02376974184437941
