Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.765216579536968,0.0067857056704778325
RF,,,,,BinaryVector,subset0_1,0.06859596713965646,0.02425237629059249
RF,,,,,BinaryVector,f1,0.06859596713965646,0.02425237629059249
RF,,,,,BinaryVector,jaccard,0.06859596713965646,0.02425237629059249
RF,,,,,BinaryVector,macro_f1,0.08517909919715601,0.028382913214357267
RF,,,,,BinaryVector,micro_f1,0.12656068235222123,0.04253056085002083
RF,,,,,BinaryVector,macro_precision,0.32,0.11224972160321825
RF,,,,,BinaryVector,micro_precision,1.0,0.0
RF,,,,,BinaryVector,macro_recall,0.05198178557450478,0.020266281526804115
RF,,,,,BinaryVector,micro_recall,0.06810470661414057,0.02421459593547166
RF,,,,,BinaryVector,example_precision,0.06859596713965646,0.02425237629059249
RF,,,,,BinaryVector,example_recall,0.06859596713965646,0.02425237629059249
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.9480182144254953,0.02026628152680412
RF,,,,,ScoreVector,ranking_loss,0.14593508837440874,0.012443326211019496
RF,,,,,ScoreVector,one_error,0.28329723674383867,0.029572926771199687
RF,,,,,ScoreVector,coverage,0.4451418969380134,0.03930146384907704
RF,,,,,ScoreVector,lr_ap,0.8352654344037841,0.014596831814326269
RF,,,,,ScoreVector,auc_macro,0.8324813412057713,0.030561094929485725
RF,,,,,ScoreVector,auc_micro,0.8880216599716753,0.011784154483847668
RF,,,,,ScoreVector,auprc_macro,0.6199998274199303,0.041854263598629815
RF,,,,,ScoreVector,auprc_micro,0.7714973597974066,0.025586229438280216
