Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8564357729648993,0.013869790776176158
RF,,,,,BinaryVector,subset0_1,0.5525653472740851,0.05325648885488488
RF,,,,,BinaryVector,f1,0.5556472491909384,0.05418631617371353
RF,,,,,BinaryVector,jaccard,0.5548767737117252,0.05393176542551926
RF,,,,,BinaryVector,macro_f1,0.45391898233435257,0.03447270325953814
RF,,,,,BinaryVector,micro_f1,0.6586362868696313,0.04196876928595783
RF,,,,,BinaryVector,macro_precision,0.6150148139578697,0.04642715155295243
RF,,,,,BinaryVector,micro_precision,0.818598352348062,0.03079573733327444
RF,,,,,BinaryVector,macro_recall,0.3938987052848609,0.03824576513352561
RF,,,,,BinaryVector,micro_recall,0.5527879604672057,0.052747572528940974
RF,,,,,BinaryVector,example_precision,0.5562266616878268,0.05509993124189821
RF,,,,,BinaryVector,example_recall,0.5558383121732635,0.05356931129025815
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.5768219364014484,0.029466694311536677
RF,,,,,ScoreVector,ranking_loss,0.14334702514314165,0.013172936931786314
RF,,,,,ScoreVector,one_error,0.279058999253174,0.03414314658588766
RF,,,,,ScoreVector,coverage,0.4363144137415982,0.04262844216215937
RF,,,,,ScoreVector,lr_ap,0.8378264251929299,0.017686486572727988
RF,,,,,ScoreVector,auc_macro,0.8098123468776579,0.03244157900272214
RF,,,,,ScoreVector,auc_micro,0.8838046332278314,0.013642309874431982
RF,,,,,ScoreVector,auprc_macro,0.604738196846249,0.033066921215452884
RF,,,,,ScoreVector,auprc_micro,0.7775544138608845,0.02401104270642238
