Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8284008588498879,0.015150449582374305
RF,,,,,BinaryVector,subset0_1,0.6250149365197909,0.03319750395359798
RF,,,,,BinaryVector,f1,0.6473798854866816,0.0324155531423497
RF,,,,,BinaryVector,jaccard,0.6417886482449588,0.03210284995284426
RF,,,,,BinaryVector,macro_f1,0.4851996806174791,0.039819974755843306
RF,,,,,BinaryVector,micro_f1,0.6573723746704374,0.02940673552005465
RF,,,,,BinaryVector,macro_precision,0.5117670206349435,0.0677534813028734
RF,,,,,BinaryVector,micro_precision,0.6621297494220768,0.03480770224487488
RF,,,,,BinaryVector,macro_recall,0.4865885372881671,0.036708539990849075
RF,,,,,BinaryVector,micro_recall,0.6535297532656024,0.03355550014664911
RF,,,,,BinaryVector,example_precision,0.6446825989544436,0.03266928307702183
RF,,,,,BinaryVector,example_recall,0.6556684092606423,0.03339141306113133
RF,,,,,BinaryVector,mfrd,0.9876156862745098,0.048768003073721804
RF,,,,,BinaryVector,afrd,0.45597353406974483,0.05138117750334444
RF,,,,,ScoreVector,ranking_loss,0.1722000248941996,0.016281417751976567
RF,,,,,ScoreVector,one_error,0.31755041075429424,0.03115808687544505
RF,,,,,ScoreVector,coverage,0.5237453323375654,0.05026725544388625
RF,,,,,ScoreVector,lr_ap,0.8107826114015434,0.017117263842796264
RF,,,,,ScoreVector,auc_macro,0.782843850836425,0.04503948987456501
RF,,,,,ScoreVector,auc_micro,0.8656497115870888,0.013785644647924165
RF,,,,,ScoreVector,auprc_macro,0.5763717494287199,0.04359251591522559
RF,,,,,ScoreVector,auprc_micro,0.733083846401435,0.02847063870922716
