Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.21233307961953288,0.008384524921921092
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.031553712247127594,0.0039038372289342256
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.19074981785594475,0.006121573158566379
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.12184685499619403,0.005554777350394206
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.1466710881087577,0.0014182429423680806
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.162959351441219,0.0012066190587206906
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.08837906734725602,0.0007193890916073756
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.08953492948568115,0.0007344823377811675
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.8933160573168482,0.017402127969571753
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.9057324908048525,0.0034412814352083832
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.12448868219807376,0.006421251131860614
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.9096379314213323,0.005154026856678382
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.9652266109205297,0.011115073343754289
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.7460719617348159,0.022870322146666823
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8744689485235064,0.007168092696458397
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.49747314450845337,0.02440713893944649
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.5411683375806057,0.024446186553436933
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.5302136751150367,0.023981925398185423
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.553109873999591,0.024971753890561207
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.5400580068370655,0.025094326824310672
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.2325181562218057,0.049972134820846455
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.5491885846226906,0.02100810881437217
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.20700763732807284,0.01379863414301209
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.678822416743465,0.016659932156599357
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.2005143755092539,0.021145347646181475
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6071179880811387,0.01926413740675539
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,1.0,0.0
