Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.17094583987441134,0.012997682647442955
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.01739403453689168,0.005256498164637428
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.18417993057004023,0.004664730555877405
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.11092861371432788,0.004318038751091264
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.15714983332319346,0.003214469098038956
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.16907831832795928,0.0028338916094340244
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.09255316466474284,0.0015924355047488203
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.09291341334605498,0.0016217098998947503
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.9232754002162189,0.022945233267834236
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.9382809615976886,0.017933661884030935
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.11099180317037449,0.004296491491291687
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.9355651491365777,0.01931915917042698
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.9338658949553387,0.01829311019254326
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.8279702329724384,0.03706380750671613
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8555890933844151,0.019269140634661716
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.5127212889178777,0.07148584722463698
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.5179500470878123,0.07482764372004147
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.9831266352694924,0.004343554962701235
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.8848604570033142,0.01852127105125837
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.8650235478806907,0.03352505638952576
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.979534275248561,0.006523962956900694
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.20165949306425496,0.018421000185645162
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.6237467294610152,0.020353551694134057
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,2.36021978021978,0.2236418752066387
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.5629262947936418,0.015473437505639656
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.677400686947015,0.022144419190584606
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.8053872649081356,0.016150679852324063
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.22657510526323407,0.03662908293212959
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.33502713004240325,0.02683194732086244
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8262213183641756,0.0016097708149840993
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.01739403453689168,0.005256498164637428
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.16847592883307172,0.013277916782529533
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.017399267399267396,0.006982489671260163
