Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9115545961974534,0.0005355285635787273
RF,,,,,BinaryVector,subset0_1,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,f1,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,jaccard,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,macro_f1,0.023314203803332302,0.013743979668449476
RF,,,,,BinaryVector,micro_f1,0.0675632798298509,0.026081877640660927
RF,,,,,BinaryVector,macro_precision,0.10405779405779406,0.0672550169486224
RF,,,,,BinaryVector,micro_precision,0.6615770194717564,0.11761953550933954
RF,,,,,BinaryVector,macro_recall,0.013834394683646493,0.008117860322646761
RF,,,,,BinaryVector,micro_recall,0.035962657461722294,0.014482577426120434
RF,,,,,BinaryVector,example_precision,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,example_recall,0.038890633176347465,0.015803318882140406
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.983627384274882,0.008812419227690703
RF,,,,,ScoreVector,ranking_loss,0.1831576879910213,0.013909864383124693
RF,,,,,ScoreVector,one_error,0.6186185243328101,0.026581306063939394
RF,,,,,ScoreVector,coverage,2.142386185243328,0.17388513967063274
RF,,,,,ScoreVector,lr_ap,0.5768768477365416,0.01939385364366302
RF,,,,,ScoreVector,auc_macro,0.6865724690941306,0.028060995783069222
RF,,,,,ScoreVector,auc_micro,0.8119967540508033,0.017179708677570623
RF,,,,,ScoreVector,auprc_macro,0.24324077300632244,0.03735588328239433
RF,,,,,ScoreVector,auprc_micro,0.34188198168505346,0.025411103414045053
