Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8006000774293456,0.012900847863231943
RF,,,,,BinaryVector,subset0_1,0.021254355400696864,0.020872989932768704
RF,,,,,BinaryVector,f1,0.02579171506000774,0.021772539999408
RF,,,,,BinaryVector,jaccard,0.024657375145180023,0.021226398983651924
RF,,,,,BinaryVector,macro_f1,0.047686274509803915,0.055222828365186674
RF,,,,,BinaryVector,micro_f1,0.045008095232639385,0.037376287790107356
RF,,,,,BinaryVector,macro_precision,0.12999999999999998,0.09451631252505216
RF,,,,,BinaryVector,micro_precision,0.66,0.4332820482472512
RF,,,,,BinaryVector,macro_recall,0.035068982473781235,0.045082827548117724
RF,,,,,BinaryVector,micro_recall,0.023521130401605993,0.019954041200857652
RF,,,,,BinaryVector,example_precision,0.028060394889663182,0.02342640689969784
RF,,,,,BinaryVector,example_recall,0.024657375145180023,0.021226398983651924
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.8964013578139504,0.06850497905770991
RF,,,,,ScoreVector,ranking_loss,0.20047154471544715,0.03340994646127503
RF,,,,,ScoreVector,one_error,0.46041811846689895,0.07697110083318788
RF,,,,,ScoreVector,coverage,1.2298025551684086,0.16387344983706692
RF,,,,,ScoreVector,lr_ap,0.7087915214866434,0.04407242932083272
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.8166507512451551,0.03239737791634983
RF,,,,,ScoreVector,auprc_macro,0.47447689604899923,0.12310103222604911
RF,,,,,ScoreVector,auprc_micro,0.5545884451311986,0.05871863419805498
