Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7991482771970575,0.02739363366575477
RF,,,,,BinaryVector,subset0_1,0.24534262485482,0.059686753546563394
RF,,,,,BinaryVector,f1,0.38904994192799064,0.07330814888098215
RF,,,,,BinaryVector,jaccard,0.35222609368950836,0.06478529481871927
RF,,,,,BinaryVector,macro_f1,0.30864355821381595,0.1015219126265988
RF,,,,,BinaryVector,micro_f1,0.44890145316517127,0.07348823238636125
RF,,,,,BinaryVector,macro_precision,0.3466218581443526,0.12039082815508843
RF,,,,,BinaryVector,micro_precision,0.5117486249339819,0.07971009502107908
RF,,,,,BinaryVector,macro_recall,0.31731372390142076,0.11791378490065048
RF,,,,,BinaryVector,micro_recall,0.4085746784620376,0.09135278602947808
RF,,,,,BinaryVector,example_precision,0.39120789779326365,0.07300169993519108
RF,,,,,BinaryVector,example_recall,0.4234378629500581,0.09105064094654436
RF,,,,,BinaryVector,mfrd,0.9946947496947496,0.01286722694685196
RF,,,,,BinaryVector,afrd,0.543124571297067,0.07521735904633602
RF,,,,,ScoreVector,ranking_loss,0.2973906310491677,0.052910497509219216
RF,,,,,ScoreVector,one_error,0.5899186991869919,0.07199049621706168
RF,,,,,ScoreVector,coverage,1.7436469221835074,0.23798728920261036
RF,,,,,ScoreVector,lr_ap,0.6059216027874563,0.04929425601997624
RF,,,,,ScoreVector,auc_macro,0.5975498543347656,0.059970403190807625
RF,,,,,ScoreVector,auc_micro,0.7006228198137251,0.05154730546741654
RF,,,,,ScoreVector,auprc_macro,0.2659501610005714,0.04083867961591285
RF,,,,,ScoreVector,auprc_micro,0.3828541911330154,0.052027286400688544
