Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.5873674022454511,0.06960697240175767
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.09479674796747968,0.04717428624266772
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.4408652176317681,0.04158085658642312
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.33602090592334505,0.044134699869584314
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.32166560509000114,0.04717007902335101
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.419906462920374,0.038692390346039766
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.24443832740467142,0.041908193768562585
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.2973109397943093,0.03854606892691804
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.5687329732593227,0.11235669756286921
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7278989851987349,0.06727640074745066
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.3521978319783198,0.04485719830650671
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7299303135888502,0.0703395313364546
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.7950981749445706,0.10313502883329415
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.47754823406830094,0.0963686814047523
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7400188003372759,0.03387921927078861
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.2487027537259931,0.08091615220376448
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.5080761108529822,0.06354676317106793
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.44203985167838034,0.06619970441019314
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.46997395603452213,0.07484150417145176
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.6142624816396672,0.059863197404362196
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.33000345550961846,0.08655844615396466
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.45637855260049387,0.0683066157058026
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.4399922571122261,0.10306202853643603
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.6780777600823739,0.06596393344742862
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.3522624839560144,0.08339328005879189
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.5436302326432731,0.06333632445908877
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.9633284404750672,0.06258153145672174
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.5692791996020231,0.10540022868348684
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8051296941540845,0.03684530556821993
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.25044134727061557,0.11193384127719753
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.27765389082462255,0.10182715386671955
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.6164459930313589,0.17033058824194502
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.24004142469996126,0.0407677671783473
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.49802555168408824,0.09297529996855744
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,1.4429268292682929,0.19474519236884144
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.6677752613240417,0.052100005147373514
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,,
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.7685482216230365,0.03529566260430023
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.3950525557628065,0.09552377274182067
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.4626240702832718,0.06232890339202012
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6293627564847079,0.03226338234505132
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.057049941927990705,0.04600073845255776
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.5939450251645373,0.07158174918414247
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.10924506387921021,0.06577799240524487
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.4302773076710359,0.038966562482976565
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.33274912891986064,0.046025901167971936
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.3133202105644791,0.0402583425109414
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.4084186052760403,0.03482894232469873
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.2416183001203167,0.03763007476448261
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.2944295336584327,0.03836921470373311
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.5450355057726507,0.1107009114661173
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.6845395776059106,0.08337992528296297
