Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8031784746418893,0.018375671413239127
RF,,,,,BinaryVector,subset0_1,0.21063879210220673,0.06405793180409843
RF,,,,,BinaryVector,f1,0.3230886566008517,0.07678368202494554
RF,,,,,BinaryVector,jaccard,0.2942818428184282,0.07100822528166748
RF,,,,,BinaryVector,macro_f1,0.27061319004024736,0.0981216205178222
RF,,,,,BinaryVector,micro_f1,0.4006624136980053,0.0780720698411276
RF,,,,,BinaryVector,macro_precision,0.32791297623371923,0.10173510696289906
RF,,,,,BinaryVector,micro_precision,0.524559784331651,0.0651541731419838
RF,,,,,BinaryVector,macro_recall,0.2487493515468344,0.10728074486092548
RF,,,,,BinaryVector,micro_recall,0.3327334381652279,0.09411819102613372
RF,,,,,BinaryVector,example_precision,0.3297018970189702,0.07614684142640403
RF,,,,,BinaryVector,example_recall,0.3465389082462253,0.08953676102576938
RF,,,,,BinaryVector,mfrd,0.9947508859703982,0.01499642968443857
RF,,,,,BinaryVector,afrd,0.5968530997231235,0.07436742481759427
RF,,,,,ScoreVector,ranking_loss,0.23941385985288424,0.0325618266643393
RF,,,,,ScoreVector,one_error,0.5003716608594657,0.05895424621072995
RF,,,,,ScoreVector,coverage,1.4438327526132404,0.1685467431592003
RF,,,,,ScoreVector,lr_ap,0.6690108401084011,0.03274058339823202
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.7736349005067196,0.02988207969235599
RF,,,,,ScoreVector,auprc_macro,0.41528866775482215,0.10828155918327616
RF,,,,,ScoreVector,auprc_micro,0.468817805795066,0.0551819723823453
