Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7053908355795149,0.0037915916163437395
RF,,,,,BinaryVector,subset0_1,0.021698113207547175,0.004810395767540364
RF,,,,,BinaryVector,f1,0.525366982235009,0.018522133866972757
RF,,,,,BinaryVector,jaccard,0.3906498663809986,0.015077624268552426
RF,,,,,BinaryVector,macro_f1,0.48463899775809205,0.017429851978290997
RF,,,,,BinaryVector,micro_f1,0.5570216654118066,0.010248771979960826
RF,,,,,BinaryVector,macro_precision,0.576849746356108,0.03029860113483675
RF,,,,,BinaryVector,micro_precision,0.6117490439821043,0.018114324300611884
RF,,,,,BinaryVector,macro_recall,0.45529836896069886,0.019080914002142648
RF,,,,,BinaryVector,micro_recall,0.5116569468193899,0.012700757324550551
RF,,,,,BinaryVector,example_precision,0.6088409703504041,0.023156436202916325
RF,,,,,BinaryVector,example_recall,0.5132044161289443,0.020055855083929302
RF,,,,,BinaryVector,mfrd,0.872339042332446,0.03740410334925603
RF,,,,,BinaryVector,afrd,0.4163325282181847,0.03361355866449236
RF,,,,,ScoreVector,ranking_loss,0.3100417894100509,0.00854787006381745
RF,,,,,ScoreVector,one_error,0.3452830188679245,0.02573241829619972
RF,,,,,ScoreVector,coverage,9.401886792452832,0.2280093244737849
RF,,,,,ScoreVector,lr_ap,0.6351609684027648,0.010197723525410434
RF,,,,,ScoreVector,auc_macro,0.6370537937369674,0.01619187225785525
RF,,,,,ScoreVector,auc_micro,0.688835553346506,0.011270847775152908
RF,,,,,ScoreVector,auprc_macro,0.4572691511574176,0.019865088371157802
RF,,,,,ScoreVector,auprc_micro,0.5460156892896301,0.017652371458924586
