Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7186522911051213,0.00734314623017354
RF,,,,,BinaryVector,subset0_1,0.02207547169811321,0.007631603175908183
RF,,,,,BinaryVector,f1,0.5384059104274946,0.012590415354226071
RF,,,,,BinaryVector,jaccard,0.4000864235345367,0.011373006777514122
RF,,,,,BinaryVector,macro_f1,0.49812361570472924,0.013126915909284487
RF,,,,,BinaryVector,micro_f1,0.5681125216742208,0.009460679506148243
RF,,,,,BinaryVector,macro_precision,0.5943458378416188,0.03323096466346425
RF,,,,,BinaryVector,micro_precision,0.6403322091324065,0.020313938543611746
RF,,,,,BinaryVector,macro_recall,0.4525225581339054,0.011328811810915154
RF,,,,,BinaryVector,micro_recall,0.5110360038393424,0.013268434759389785
RF,,,,,BinaryVector,example_precision,0.636914549810776,0.02311591304254489
RF,,,,,BinaryVector,example_recall,0.5149494677230526,0.013518445343651741
RF,,,,,BinaryVector,mfrd,0.8130657124282693,0.04792264376883626
RF,,,,,BinaryVector,afrd,0.42100371419435595,0.017341668828474325
RF,,,,,ScoreVector,ranking_loss,0.24638343866376214,0.007595503354498839
RF,,,,,ScoreVector,one_error,0.2618867924528302,0.02989598676946289
RF,,,,,ScoreVector,coverage,8.72188679245283,0.14103997600290738
RF,,,,,ScoreVector,lr_ap,0.7054390081935522,0.012755317251050002
RF,,,,,ScoreVector,auc_macro,0.724947674314361,0.010556508757511723
RF,,,,,ScoreVector,auc_micro,0.7582768722904178,0.007079619142884655
RF,,,,,ScoreVector,auprc_macro,0.5830257330104867,0.02238854553385202
RF,,,,,ScoreVector,auprc_micro,0.6382799456034725,0.015665100587420332
