Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.586455525606469,0.009035682098038688
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.0005660377358490566,0.0015328374348369737
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5345319194568569,0.013137727768290444
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.3859686749309392,0.011063828319643322
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.5307596378795683,0.013189113060405863
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.5604655577623893,0.011889612680613533
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.433924332196064,0.015481832485671362
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.4558199239671534,0.014800070957013977
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.695053520905381,0.01617192686862842
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7281641527317678,0.01507409306036267
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.4520681242237848,0.01419645428956096
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7299611410601976,0.016536250479799484
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.5820584960300967,0.07363111591344194
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.25195566825348,0.02833188504421611
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.5881199907162269,0.008966822288280477
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.0005660377358490566,0.0015328374348369737
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.5351158270596615,0.012872254942405558
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.5899730458221024,0.009006225400231736
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.004501347708894879,0.0018451311148382566
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.0005660377358490566,0.0015328374348369737
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.047547169811320754,0.01764529270300104
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.3337662989152208,0.011942276424561528
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.3779245283018868,0.03717316333894266
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,9.684905660377357,0.15061284561113272
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.6187000853158657,0.015885238535246596
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.6435354493044118,0.013125117999946685
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.674277285608192,0.011414824842809116
