Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8125520348275854,0.004310201766314672
RF,,,,,BinaryVector,subset0_1,0.2201144705097274,0.02150913178290661
RF,,,,,BinaryVector,f1,0.626004144865472,0.008932488150568602
RF,,,,,BinaryVector,jaccard,0.5269783491945471,0.010036468466907741
RF,,,,,BinaryVector,macro_f1,0.3725905439169896,0.008077109497823897
RF,,,,,BinaryVector,micro_f1,0.6561644210432316,0.008606594323778855
RF,,,,,BinaryVector,macro_precision,0.6421360747283983,0.0706292152344948
RF,,,,,BinaryVector,micro_precision,0.7376035880704207,0.0075278569521921804
RF,,,,,BinaryVector,macro_recall,0.3482871358832388,0.010933753665061075
RF,,,,,BinaryVector,micro_recall,0.5912950211696056,0.017307466960775394
RF,,,,,BinaryVector,example_precision,0.731600674405587,0.005647740203729927
RF,,,,,BinaryVector,example_recall,0.5990349498848164,0.01689539299657489
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.7491386974627288,0.01622178527696282
RF,,,,,ScoreVector,ranking_loss,0.16444295487072058,0.005153903800985542
RF,,,,,ScoreVector,one_error,0.2420332631795082,0.014868187408937299
RF,,,,,ScoreVector,coverage,6.079379908628921,0.08862778232585145
RF,,,,,ScoreVector,lr_ap,0.7613356628981696,0.0029389952723253565
RF,,,,,ScoreVector,auc_macro,0.7255868632841702,0.009330519099840597
RF,,,,,ScoreVector,auc_micro,0.848407911016146,0.005341495318245635
RF,,,,,ScoreVector,auprc_macro,0.5348652661826835,0.012740640426029818
RF,,,,,ScoreVector,auprc_micro,0.7239832942665424,0.007872738341919734
