Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7058575999569788,0.007148131795719675
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.0200254949266807,0.008228378076731812
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6050440854646107,0.007367634709740411
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.46745418348674145,0.008827602161956957
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.4428343263278107,0.007574222741659972
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6164492173597281,0.007125398689236492
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.36900632510555226,0.00970047173314635
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.5092857566466509,0.010037096706882825
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.5670134662601523,0.010476798623503182
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7810374041655733,0.009368290869587197
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.5205673962758305,0.010287575028507906
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7885700797281572,0.00941081836593976
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.9982168919286516,0.0023671385057136354
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.5365112088208684,0.024247587597829173
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7087144506096128,0.0071890746642301745
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.021018257105213628,0.008691772205330402
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.607250793562895,0.007295677329899571
