Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7848554757871526,0.005326138792731734
RF,,,,,BinaryVector,subset0_1,0.07605119518162995,0.01308672076940995
RF,,,,,BinaryVector,f1,0.5044403690720363,0.015468414719094199
RF,,,,,BinaryVector,jaccard,0.393633062273353,0.014595299766116114
RF,,,,,BinaryVector,macro_f1,0.2696635770893334,0.011116100168987376
RF,,,,,BinaryVector,micro_f1,0.5442248097041904,0.013925671110468739
RF,,,,,BinaryVector,macro_precision,0.5622856194371092,0.06464205233745046
RF,,,,,BinaryVector,micro_precision,0.7583316392276367,0.012666333158110069
RF,,,,,BinaryVector,macro_recall,0.22700822213670674,0.011127791969156278
RF,,,,,BinaryVector,micro_recall,0.4247809503481536,0.018084193566722865
RF,,,,,BinaryVector,example_precision,0.7277094762526722,0.012845556376181429
RF,,,,,BinaryVector,example_recall,0.42417449037491656,0.019227592036154404
RF,,,,,BinaryVector,mfrd,0.9999152542372882,0.0004151677530140968
RF,,,,,BinaryVector,afrd,0.8286483494534274,0.02072725635127671
RF,,,,,ScoreVector,ranking_loss,0.18085840377804804,0.005292091655872257
RF,,,,,ScoreVector,one_error,0.24079410707869203,0.01511041466604818
RF,,,,,ScoreVector,coverage,6.711469465975394,0.12573453675765406
RF,,,,,ScoreVector,lr_ap,0.7468386450057376,0.006425477698634089
RF,,,,,ScoreVector,auc_macro,0.6486514978054154,0.01312257117652233
RF,,,,,ScoreVector,auc_micro,0.8220711428052723,0.006666932070936399
RF,,,,,ScoreVector,auprc_macro,0.4613708342639437,0.009692888943051071
RF,,,,,ScoreVector,auprc_micro,0.6886151624614862,0.010790843104682873
