Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.6488966434031239,0.01950202780928072
RF,,,,,BinaryVector,subset0_1,0.08026776812419884,0.018627628561578062
RF,,,,,BinaryVector,f1,0.3962427886408799,0.038512453416023495
RF,,,,,BinaryVector,jaccard,0.3094133314342686,0.03159305407684965
RF,,,,,BinaryVector,macro_f1,0.4144912794392367,0.03923026801742367
RF,,,,,BinaryVector,micro_f1,0.4392857579524666,0.03734697361940541
RF,,,,,BinaryVector,macro_precision,0.42513973416956913,0.03601147746232242
RF,,,,,BinaryVector,micro_precision,0.43829544165392925,0.03510719364807924
RF,,,,,BinaryVector,macro_recall,0.4341665958112369,0.060866494292910675
RF,,,,,BinaryVector,micro_recall,0.44454179341706374,0.058205956560449974
RF,,,,,BinaryVector,example_precision,0.4127165171153207,0.031246466015889162
RF,,,,,BinaryVector,example_recall,0.4409462089920714,0.058571585754846806
RF,,,,,BinaryVector,mfrd,0.6463375981380186,0.09464237247021055
RF,,,,,BinaryVector,afrd,0.334313878822276,0.0790029799798893
RF,,,,,ScoreVector,ranking_loss,0.4600175030464163,0.028611262436726317
RF,,,,,ScoreVector,one_error,0.662076627261074,0.04359646507693415
RF,,,,,ScoreVector,coverage,3.223723116365189,0.18065776554176824
RF,,,,,ScoreVector,lr_ap,0.5351828166294768,0.02310133679547491
RF,,,,,ScoreVector,auc_macro,0.540393887342361,0.025709788268943212
RF,,,,,ScoreVector,auc_micro,0.5439886948545402,0.022857129990282797
RF,,,,,ScoreVector,auprc_macro,0.3425568593436472,0.014396788329312914
RF,,,,,ScoreVector,auprc_micro,0.33817479855324434,0.01898730936582006
