Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9135831011349684,0.003759355702312977
RF,,,,,BinaryVector,subset0_1,0.6377222418716194,0.018022123557334648
RF,,,,,BinaryVector,f1,0.7087743664507152,0.024027710301560937
RF,,,,,BinaryVector,jaccard,0.6909074570900298,0.022148641304824853
RF,,,,,BinaryVector,macro_f1,0.7483417119994349,0.013952341099900076
RF,,,,,BinaryVector,micro_f1,0.7432722083415755,0.012489108653711863
RF,,,,,BinaryVector,macro_precision,0.7969932133191839,0.018225875866796235
RF,,,,,BinaryVector,micro_precision,0.7940796935240766,0.02060893174878874
RF,,,,,BinaryVector,macro_recall,0.7139277723889687,0.024897685053383085
RF,,,,,BinaryVector,micro_recall,0.6993720685207282,0.023531672274913505
RF,,,,,BinaryVector,example_precision,0.7172910861707542,0.023121577239278886
RF,,,,,BinaryVector,example_recall,0.7178476433663156,0.026745659132149206
RF,,,,,BinaryVector,mfrd,0.45370871984269956,0.02352880138752746
RF,,,,,BinaryVector,afrd,0.24612122996726218,0.028063947599369678
RF,,,,,ScoreVector,ranking_loss,0.10625068413450156,0.006530807289636052
RF,,,,,ScoreVector,one_error,0.32115492447442656,0.011646484131125937
RF,,,,,ScoreVector,coverage,0.6148937638564195,0.03190192953351778
RF,,,,,ScoreVector,lr_ap,0.8122260921949715,0.008565313752069413
RF,,,,,ScoreVector,auc_macro,0.9105907288373214,0.006902807646436729
RF,,,,,ScoreVector,auc_micro,0.9052413064284528,0.007741255783498455
RF,,,,,ScoreVector,auprc_macro,0.71996723507845,0.019028275573501126
RF,,,,,ScoreVector,auprc_micro,0.6658673527727949,0.020864849728107437
