Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8164125568274946,0.00968970062025315
RF,,,,,BinaryVector,subset0_1,0.33527678332657596,0.03728340589420265
RF,,,,,BinaryVector,f1,0.5023152089210174,0.02834886801380469
RF,,,,,BinaryVector,jaccard,0.4582366985562008,0.02869467918392644
RF,,,,,BinaryVector,macro_f1,0.5311119321719603,0.020915339826301074
RF,,,,,BinaryVector,micro_f1,0.5261233778340286,0.020259583268021894
RF,,,,,BinaryVector,macro_precision,0.4972110016630914,0.0225242063036152
RF,,,,,BinaryVector,micro_precision,0.4898497549865254,0.022744345920923368
RF,,,,,BinaryVector,macro_recall,0.5810585023447064,0.03208839581903391
RF,,,,,BinaryVector,micro_recall,0.56959492339372,0.031928618540299665
RF,,,,,BinaryVector,example_precision,0.47469744049827045,0.02896246638816772
RF,,,,,BinaryVector,example_recall,0.5791961479513347,0.032657513682416206
RF,,,,,BinaryVector,mfrd,0.49590425321744924,0.07124080638545184
RF,,,,,BinaryVector,afrd,0.28910529781167,0.03960695913368387
RF,,,,,ScoreVector,ranking_loss,0.12603702665320923,0.011913534897228673
RF,,,,,ScoreVector,one_error,0.3058527790477998,0.023800435682346348
RF,,,,,ScoreVector,coverage,0.7250498184108143,0.058502704655160775
RF,,,,,ScoreVector,lr_ap,0.8046763950353159,0.01590894959028101
RF,,,,,ScoreVector,auc_macro,0.8845781302153094,0.010529773563897045
RF,,,,,ScoreVector,auc_micro,0.8884437557892391,0.011086805916399382
RF,,,,,ScoreVector,auprc_macro,0.7030683234659234,0.021265257213120333
RF,,,,,ScoreVector,auprc_micro,0.7014788735945197,0.024660764775581902
