Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8195702671312426,0.019781985593730466
RF,,,,,BinaryVector,subset0_1,0.2167247386759582,0.054630669811248686
RF,,,,,BinaryVector,f1,0.3110065814943863,0.06305616304508699
RF,,,,,BinaryVector,jaccard,0.28721060782036395,0.05851786182988093
RF,,,,,BinaryVector,macro_f1,0.25956475743750995,0.09108757713006053
RF,,,,,BinaryVector,micro_f1,0.40604646506088377,0.07194672984117972
RF,,,,,BinaryVector,macro_precision,0.3232831098496733,0.09382431912034424
RF,,,,,BinaryVector,micro_precision,0.617045847568844,0.09856281881464449
RF,,,,,BinaryVector,macro_recall,0.235214469847866,0.09722354198085968
RF,,,,,BinaryVector,micro_recall,0.30778696839710606,0.0690754396315222
RF,,,,,BinaryVector,example_precision,0.33115369725125826,0.06570039746186286
RF,,,,,BinaryVector,example_recall,0.314808362369338,0.06931404579390577
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.6322633981778281,0.04388200306169857
RF,,,,,ScoreVector,ranking_loss,0.21293205574912893,0.028071687819343313
RF,,,,,ScoreVector,one_error,0.4709639953542392,0.07893009414045574
RF,,,,,ScoreVector,coverage,1.3011382113821137,0.15769809533491064
RF,,,,,ScoreVector,lr_ap,0.6940994967092528,0.0413499491210777
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.8070456444818437,0.029662402305346808
