Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.5669376693766938,0.03936963401534959
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.027038327526132402,0.026741932655677512
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.4005563851556883,0.03342577829447965
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.28695625241966705,0.029560368943856816
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.3093590354939016,0.04437592069937026
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.4000788978330586,0.030395110642369723
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.22906933078387579,0.03051540724147032
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.27872410680679033,0.022422465748850328
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.570181919923204,0.11685999630189135
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7113827112951019,0.06246036627735795
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.29869918699186987,0.030449532479579898
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.712020905923345,0.06232249509959211
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.7695184602014997,0.11615726541412692
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.43754166367067326,0.07559194261196911
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.6560656695011737,0.03526880093304386
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.1107571696596087,0.0664087196457739
