Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6613034482161564,0.02341375996675582
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.11172506038490507,0.007408513622315142
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6389793941020478,0.0303891234614167
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6609917841899765,0.017106892103645577
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.09909617432407863,0.001623250136353012
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5802084376851286,0.020444820007841313
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.66490706351886,0.023420252967301214
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.1135236215359842,0.00560995247123601
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.6420621161657585,0.029395106916014713
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6555906899029513,0.019499562804629944
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.0846752201127185,0.005252837441238341
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.5622489218527197,0.024342104449499025
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.6342839086131816,0.02756928031581951
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.11353011453652961,0.009213567773939689
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.6264582815439251,0.03037800290968906
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.6351875178557516,0.029072409942082433
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.12073085214139158,0.005622938472326824
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.6235735393119242,0.030139714942847284
