Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7432953520391206,0.013564835465090158
RF,CLR,subset0_1,0.10016806722689077,0.03765084117210851
RF,CLR,f1,0.2777048853439681,0.049690626544346146
XGBoost,CLR,hamming_accuracy,0.7470080235484023,0.019068384346271925
XGBoost,CLR,subset0_1,0.14908417604329868,0.03891541256001092
XGBoost,CLR,f1,0.43183975963266646,0.04062446165581926
ETC,CLR,hamming_accuracy,0.7360376014812704,0.01033218934279182
ETC,CLR,subset0_1,0.08969662441247685,0.03162067283463091
ETC,CLR,f1,0.24457050616856918,0.03566291663134037
LightGBM,CLR,hamming_accuracy,0.7371119973413094,0.01711215168605312
LightGBM,CLR,subset0_1,0.12652043868394816,0.03756551671828505
LightGBM,CLR,f1,0.40076596062153663,0.04639460893890385
