Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6233633633633634,0.016868646000333026
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.06666666666666667,0.01591308264203216
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6014465894465889,0.02187799877039118
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.633993993993994,0.017004953623194822
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.07135135135135134,0.023619415651421893
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5405762905762901,0.02088570004263909
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.6245045045045046,0.01690730694697919
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.0681081081081081,0.017108580137613287
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.6020723580723576,0.021781019703113715
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6278078078078078,0.01897517732860353
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.06306306306306306,0.024039034349777177
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.5230670670670666,0.021958227390954852
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.5837837837837838,0.02040716757721562
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.04576576576576577,0.018883708117584
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.599399685399685,0.021832942869806027
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.5846246246246246,0.02062641200732011
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.04936936936936937,0.01942606410370242
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.5980366080366076,0.02180993814164372
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,hamming_accuracy,0.5843243243243244,0.01998601717010583
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,subset0_1,0.04612612612612613,0.018952351412331106
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,f1,0.5999322179322175,0.021285931220180538
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.583963963963964,0.020442136483427315
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,subset0_1,0.04936936936936937,0.01942606410370242
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,f1,0.5973464893464889,0.021639457818927333
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.40970570570570564,0.017008500017833453
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.015855855855855857,0.009960558530511894
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.38551351351351343,0.018698131098938208
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0007207207207207207,0.0024440828768018986
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.4106906906906906,0.0180364270321889
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.015855855855855857,0.010894570420058359
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.38123723723723724,0.01977155283959955
