Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.8491203779585522,0.0031931208796110275
RF,CLR,subset0_1,0.15247194209849813,0.01697068997420938
RF,CLR,f1,0.16327355124035622,0.017764660131041863
XGBoost,CLR,hamming_accuracy,0.88388298927718,0.005438617916836893
XGBoost,CLR,subset0_1,0.3610407087585511,0.026832813270674157
XGBoost,CLR,f1,0.38728473126813356,0.029072150927390183
ETC,CLR,hamming_accuracy,0.8387338503521078,0.002301543699549918
ETC,CLR,subset0_1,0.09222832791297522,0.010623964283299519
ETC,CLR,f1,0.10102311056667902,0.011628419370077404
LightGBM,CLR,hamming_accuracy,0.8706563090380519,0.005409062717845735
LightGBM,CLR,subset0_1,0.2820981530525099,0.02976808554041489
LightGBM,CLR,f1,0.3089635757685551,0.028457157399894392
